date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:28	44113/44113	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:31%20GMT	https://info.dextools.io/academy/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/academy/index.html	(from https://info.dextools.io/)
16:14:28	159159/159159	---M--	200	added ('OK')	image/png	etag:%2226db7-5fbb9d7e0850a%22	https://info.dextools.io/content/uploads/2023/05/apps.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/05/apps.png	(from https://info.dextools.io/)
16:14:28	2809/2809	---M--	200	added ('OK')	image/png	etag:%22af9-5fbb9d94ac3ca%22	https://info.dextools.io/content/uploads/2023/05/Visitors_icon.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/05/Visitors_icon.png	(from https://info.dextools.io/)
16:14:29	4392/4392	---M--	200	added ('OK')	image/png	etag:%22112a-5fbb9d93da466%22	https://info.dextools.io/content/uploads/2023/05/Blockchain_icon.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/05/Blockchain_icon.png	(from https://info.dextools.io/)
16:14:29	6119/6119	---M--	200	added ('OK')	image/png	etag:%2217e7-5fbb9d92355ff%22	https://info.dextools.io/content/uploads/2023/05/Pool_icon.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/05/Pool_icon.png	(from https://info.dextools.io/)
16:14:30	4734/4734	---M--	200	added ('OK')	image/png	etag:%221281-5fbb9d930d323%22	https://info.dextools.io/content/uploads/2023/05/Tokens_icon.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/05/Tokens_icon.png	(from https://info.dextools.io/)
16:14:30	4192/4192	---M--	200	added ('OK')	image/png	etag:%221067-5fbb9ece0f265%22	https://info.dextools.io/content/uploads/2023/04/Dext-Force-Ventures.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/Dext-Force-Ventures.png	(from https://info.dextools.io/)
16:14:30	7179/7179	---M--	200	added ('OK')	image/png	etag:%221c28-5fbb9e538daeb%22	https://info.dextools.io/content/uploads/2023/03/logo-bitbase.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/03/logo-bitbase.png	(from https://info.dextools.io/)
16:14:31	8512/8512	---M--	200	added ('OK')	image/png	etag:%2221c1-5fbb9ecef3aa9%22	https://info.dextools.io/content/uploads/2023/04/outer-ring_w.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/outer-ring_w.png	(from https://info.dextools.io/)
16:14:31	6100/6100	---M--	200	added ('OK')	image/png	etag:%2217e9-5fbb9e53f33ed%22	https://info.dextools.io/content/uploads/2023/03/logo-coinbase.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/03/logo-coinbase.png	(from https://info.dextools.io/)
16:14:31	3945/3945	---M--	200	added ('OK')	image/png	etag:%221023-5fbb9ecc1c1fc%22	https://info.dextools.io/content/uploads/2023/04/Floki_f.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/Floki_f.png	(from https://info.dextools.io/)
16:14:32	3310/3310	---M--	200	added ('OK')	image/png	etag:%22cf4-5fbb9ecb65819%22	https://info.dextools.io/content/uploads/2023/04/Lit-Lab_-f.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/Lit-Lab_-f.png	(from https://info.dextools.io/)
16:14:32	3031/3031	---M--	200	added ('OK')	image/png	etag:%22bd7-5fbb9ec322423%22	https://info.dextools.io/content/uploads/2023/04/KCC.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/KCC.png	(from https://info.dextools.io/)
16:14:32	3130/3130	---M--	200	added ('OK')	image/png	etag:%22c3d-5fbb9ec9f16f2%22	https://info.dextools.io/content/uploads/2023/04/MultiversX.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/MultiversX.png	(from https://info.dextools.io/)
16:14:33	3531/3531	---M--	200	added ('OK')	image/png	etag:%22dcb-5fbb9ec3ddc28%22	https://info.dextools.io/content/uploads/2023/04/kyber.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/kyber.png	(from https://info.dextools.io/)
16:14:33	2395/2395	---M--	200	added ('OK')	image/png	etag:%2295b-5fbb9ec6ba2ff%22	https://info.dextools.io/content/uploads/2023/04/Velas.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/Velas.png	(from https://info.dextools.io/)
